"author_id","rating","helpfulness","total_feedback_count","total_neg_feedback_count","total_pos_feedback_count","submission_time","skin_tone","eye_color","skin_type","hair_color","product_id","product_name","brand_name","price_usd","review_length","title_length","helpful_review"
2190293206,2,NA,0,0,0,2023-03-19,"lightMedium","brown","combination","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,152,0,0
9113341005,5,NA,0,0,0,2023-03-18,"deep","brown","normal","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,213,32,0
23866342710,1,1,13,0,13,2023-03-12,"fairLight","blue","combination","blonde","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,328,29,1
1328806527,1,0.941175997257,17,1,16,2023-03-12,"light","brown","combination","gray","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,541,50,1
31262847082,5,1,1,0,1,2023-03-09,"lightMedium","hazel","combination","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,54,50,1
38092205147,4,1,5,0,5,2023-03-06,"nan","nan","nan","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,155,0,1
5090375964,4,1,1,0,1,2023-03-05,"nan","brown","combination","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,104,10,1
42425576020,5,1,2,0,2,2023-03-05,"fairLight","gray","combination","blonde","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,191,16,1
6768361454,1,0.909090995789,11,1,10,2023-03-03,"light","hazel","combination","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,238,0,1
6860968769,1,0.800000011921,15,3,12,2023-03-01,"lightMedium","blue","dry","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,373,44,1
23687096886,5,0.666666984558,3,1,2,2023-03-01,"porcelain","blue","dry","brunette","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,340,39,1
37268946149,2,0.857142984867,7,1,6,2023-02-27,"light","blue","combination","blonde","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,147,6,1
8751720702,4,1,1,0,1,2023-02-24,"fair","brown","dry","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,124,13,1
5683470893,1,1,7,0,7,2023-02-24,"light","hazel","combination","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,1830,40,1
23851455908,2,0.600000023842,5,2,3,2023-02-20,"nan","blue","oily","auburn","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,415,12,1
46387080651,4,0.666666984558,3,1,2,2023-02-15,"fairLight","brown","oily","red","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,202,36,1
27639389172,1,0.625,8,3,5,2023-02-15,"fair","brown","normal","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,85,25,1
6442783656,4,0.800000011921,5,1,4,2023-02-13,"lightMedium","green","normal","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,224,36,1
7778640948,1,1,5,0,5,2023-02-13,"nan","brown","dry","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,108,23,1
33705816419,5,1,2,0,2,2023-02-13,"fair","brown","dry","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,66,17,1
8228421510,1,0.888889014721,9,1,8,2023-02-10,"medium","brown","combination","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,199,15,1
20440005187,2,1,6,0,6,2023-02-09,"nan","brown","combination","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,224,10,1
27122684339,1,1,11,0,11,2023-02-08,"light","nan","combination","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,84,0,1
21582452079,1,1,2,0,2,2023-02-06,"nan","green","normal","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,677,0,1
5117068738,5,1,4,0,4,2023-02-06,"light","hazel","normal","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,807,14,1
24595435489,4,1,4,0,4,2023-02-06,"fair","brown","combination","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,456,12,1
24111448404,2,NA,0,0,0,2023-02-05,"fairLight","blue","dry","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,71,10,0
1480662380,5,NA,0,0,0,2023-02-05,"fairLight","brown","combination","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,104,26,0
22101370988,1,1,1,0,1,2023-02-04,"light","hazel","combination","blonde","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,67,0,1
35432472438,5,NA,0,0,0,2023-02-01,"light","brown","combination","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,73,26,0
27147241873,5,0.941175997257,17,1,16,2023-01-25,"nan","brown","combination","auburn","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,1068,50,1
9564020784,4,0.888889014721,9,1,8,2023-01-23,"nan","hazel","combination","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,580,33,1
5247674283,5,0.5,4,2,2,2023-01-22,"light","brown","combination","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,238,0,1
27460530170,5,0,14,14,0,2023-01-21,"fair","green","combination","blonde","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,94,7,0
10841175119,5,1,1,0,1,2023-01-19,"nan","brown","oily","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,97,0,1
35565731108,5,NA,0,0,0,2023-01-18,"nan","blue","dry","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,130,19,0
8943777906,4,0.5,8,4,4,2023-01-18,"light","brown","combination","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,295,29,1
41242546553,2,0.33333298564,3,2,1,2023-01-15,"nan","nan","nan","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,81,10,0
44428715220,2,0.666666984558,6,2,4,2023-01-15,"nan","nan","nan","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,162,0,1
2667539492,1,0.571429014206,7,3,4,2023-01-13,"nan","nan","nan","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,192,35,1
44557311050,5,0.800000011921,5,1,4,2023-01-08,"light","brown","combination","red","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,250,38,1
27749504625,4,1,3,0,3,2023-01-06,"nan","brown","dry","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,155,0,1
11487583197,3,0.75,4,1,3,2023-01-05,"tan","brown","oily","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,222,48,1
9634014167,5,0.0769231021404,26,24,2,2022-12-31,"nan","brown","combination","blonde","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,53,13,0
43722995460,5,0.5,12,6,6,2022-12-16,"light","brown","dry","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,237,0,1
1346143363,1,0.705882012844,17,5,12,2022-12-09,"nan","brown","combination","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,62,16,1
2800854217,3,0.777778029442,27,6,21,2022-12-03,"fair","blue","combination","blonde","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,234,30,1
21407018770,5,0.800000011921,5,1,4,2022-12-02,"light","green","oily","blonde","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,167,20,1
8278810228,5,0.800000011921,10,2,8,2022-11-30,"fair","green","dry","blonde","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,484,13,1
5698627875,4,0.916666984558,12,1,11,2022-11-29,"nan","brown","combination","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,1249,13,1
34062382043,4,0.777778029442,9,2,7,2022-11-18,"light","brown","combination","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,415,0,1
27109249998,5,0.833333015442,6,1,5,2022-11-14,"lightMedium","nan","combination","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,137,21,1
26806219826,5,0.846153974533,13,2,11,2022-11-10,"light","brown","combination","nan","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,324,0,1
1212940220,5,0.666666984558,9,3,6,2022-11-04,"medium","brown","normal","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,206,31,1
21582452079,1,1,1,0,1,2022-09-30,"fairLight","green","normal","black","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,311,17,1
5937804412,5,0.782608985901,23,5,18,2022-09-24,"fair","hazel","combination","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,240,33,1
1379741419,5,0.833333015442,6,1,5,2022-09-23,"mediumTan","brown","combination","brown","P443842","Retinol Anti-Aging Serum","The INKEY List",12.99,50,12,1
